a	một
absent	vắng mặt
about	ước chừng
accept	chấp nhận
allow	cho phép
all	tất cả
apartment	căn hộ
ant	con kiến
alphabet	bảng chữ cái
hanvuhoanglong	đẹp trai
book	sách
a font	thấu triệt; cặn kẽ; rõ ngọn nghành
a fortiori	huống hồ; huống là
erumpent	thực vật
episperm	vỏ (hạt); bao (tinh trùng)
eonian	vĩnh cữu; vô cùng
entryway	lối đi vào
coiffeuse	thợ cắt tóc, thợ làm đầu
cohesively	gắn bó, liên kết
polyphase	(vật lí) nhiều pha
pool	số tiền đặt cọc; hợp nhất; gộp lại
porous	xốp
pose	đặt
predesigned	cho trước, thiết lập trước
broadish	hơi rộng
briny	mặn
bristly	đầy lông cứng
bring	cầm lại, đem lại, mang lại, xách lại, đưa lại
brigade	lữ đoàn
briefing	sự chỉ dẫn tường tận
bridecake	bánh cưới
bridal	đám cưới, tiệc cưới; liên hoan đám cưới
breech	khoá nòng (súng)
bred	nòi, giống
appliance	đồ phụ tùng
appetitive	làm cho thèm (ăn)
apperceive	(tâm lý học) tổng giác
append	treo vào
apparition	sự hiện ra, sự xuất hiện
apostil	lời ghi thêm bên lề (một văn kiện)
